! Time(s)	BldPitch1(rad)	BldPitch2(rad)	BldPitch3(rad)	GenTq(Nm)	YawRate(rad/s)
3.07500000	0.01315528	0.01315528	0.01315528	40000.00000000	0.00019201
3.10000000	0.01325679	0.01325679	0.01325679	40000.00000000	0.00019355
3.12500000	0.01335817	0.01335817	0.01335817	40000.00000000	0.00019509
3.15000000	0.01345942	0.01345942	0.01345942	40000.00000000	0.00019663
3.17500000	0.01356054	0.01356054	0.01356054	40000.00000000	0.00019817
3.20000000	0.01366152	0.01366152	0.01366152	40000.00000000	0.00019971
3.22500000	0.01376237	0.01376237	0.01376237	40000.00000000	0.00020125
3.25000000	0.01386308	0.01386308	0.01386308	40000.00000000	0.00020279
3.27500000	0.01396365	0.01396365	0.01396365	40000.00000000	0.00020433
3.30000000	0.01406409	0.01406409	0.01406409	40000.00000000	0.00020586
3.32500000	0.01416439	0.01416439	0.01416439	40000.00000000	0.00020740
3.35000000	0.01426454	0.01426454	0.01426454	40000.00000000	0.00020894
3.37500000	0.01436456	0.01436456	0.01436456	40000.00000000	0.00021047
3.40000000	0.01446444	0.01446444	0.01446444	40000.00000000	0.00021201
3.42500000	0.01456417	0.01456417	0.01456417	40000.00000000	0.00021354
3.45000000	0.01466376	0.01466376	0.01466376	40000.00000000	0.00021508
3.47500000	0.01476320	0.01476320	0.01476320	40000.00000000	0.00021661
3.50000000	0.01486250	0.01486250	0.01486250	40000.00000000	0.00021814
3.52500000	0.01496165	0.01496165	0.01496165	40000.00000000	0.00021968
3.55000000	0.01506066	0.01506066	0.01506066	40000.00000000	0.00022121
3.57500000	0.01515951	0.01515951	0.01515951	40000.00000000	0.00022274
3.60000000	0.01525822	0.01525822	0.01525822	40000.00000000	0.00022427
3.62500000	0.01535677	0.01535677	0.01535677	40000.00000000	0.00022580
3.65000000	0.01545518	0.01545518	0.01545518	40000.00000000	0.00022733
3.67500000	0.01555343	0.01555343	0.01555343	40000.00000000	0.00022886
3.70000000	0.01565153	0.01565153	0.01565153	40000.00000000	0.00023039
3.72500000	0.01574947	0.01574947	0.01574947	40000.00000000	0.00023192
3.75000000	0.01584726	0.01584726	0.01584726	40000.00000000	0.00023345
3.77500000	0.01594489	0.01594489	0.01594489	40000.00000000	0.00023497
3.80000000	0.01604236	0.01604236	0.01604236	40000.00000000	0.00023650
3.82500000	0.01613968	0.01613968	0.01613968	40000.00000000	0.00023802
3.85000000	0.01623684	0.01623684	0.01623684	40000.00000000	0.00023955
3.87500000	0.01633383	0.01633383	0.01633383	40000.00000000	0.00024108
3.90000000	0.01643067	0.01643067	0.01643067	40000.00000000	0.00024260
3.92500000	0.01652734	0.01652734	0.01652734	40000.00000000	0.00024412
3.95000000	0.01662385	0.01662385	0.01662385	40000.00000000	0.00024565
3.97500000	0.01672019	0.01672019	0.01672019	40000.00000000	0.00024717
4.00000000	0.01681638	0.01681638	0.01681638	40000.00000000	0.00024869
4.02500000	0.01691239	0.01691239	0.01691239	40000.00000000	0.00025021
4.05000000	0.01700824	0.01700824	0.01700824	40000.00000000	0.00025173
4.07500000	0.01710392	0.01710392	0.01710392	40000.00000000	0.00025325
4.10000000	0.01719943	0.01719943	0.01719943	40000.00000000	0.00025477
4.12500000	0.01729477	0.01729477	0.01729477	40000.00000000	0.00025629
4.15000000	0.01738994	0.01738994	0.01738994	40000.00000000	0.00025781
4.17500000	0.01748494	0.01748494	0.01748494	40000.00000000	0.00025932
4.20000000	0.01757977	0.01757977	0.01757977	40000.00000000	0.00026084
4.22500000	0.01767442	0.01767442	0.01767442	40000.00000000	0.00026236
4.25000000	0.01776890	0.01776890	0.01776890	40000.00000000	0.00026387
4.27500000	0.01786320	0.01786320	0.01786320	40000.00000000	0.00026539
4.30000000	0.01795733	0.01795733	0.01795733	40000.00000000	0.00026690
4.32500000	0.01805128	0.01805128	0.01805128	40000.00000000	0.00026842
4.35000000	0.01814505	0.01814505	0.01814505	40000.00000000	0.00026993
4.37500000	0.01823864	0.01823864	0.01823864	40000.00000000	0.00027144
4.40000000	0.01833205	0.01833205	0.01833205	40000.00000000	0.00027295
4.42500000	0.01842528	0.01842528	0.01842528	40000.00000000	0.00027446
4.45000000	0.01851833	0.01851833	0.01851833	40000.00000000	0.00027597
4.47500000	0.01861120	0.01861120	0.01861120	40000.00000000	0.00027748
4.50000000	0.01870388	0.01870388	0.01870388	40000.00000000	0.00027899
4.52500000	0.01879638	0.01879638	0.01879638	40000.00000000	0.00028050
4.55000000	0.01888870	0.01888870	0.01888870	40000.00000000	0.00028201
4.57500000	0.01898082	0.01898082	0.01898082	40000.00000000	0.00028351
4.60000000	0.01907276	0.01907276	0.01907276	40000.00000000	0.00028502
4.62500000	0.01916451	0.01916451	0.01916451	40000.00000000	0.00028652
4.65000000	0.01925607	0.01925607	0.01925607	40000.00000000	0.00028803
4.67500000	0.01934745	0.01934745	0.01934745	40000.00000000	0.00028953
4.70000000	0.01943863	0.01943863	0.01943863	40000.00000000	0.00029104
4.72500000	0.01952962	0.01952962	0.01952962	40000.00000000	0.00029254
4.75000000	0.01962041	0.01962041	0.01962041	40000.00000000	0.00029404
4.77500000	0.01971101	0.01971101	0.01971101	40000.00000000	0.00029554
4.80000000	0.01980142	0.01980142	0.01980142	40000.00000000	0.00029704
4.82500000	0.01989163	0.01989163	0.01989163	40000.00000000	0.00029854
4.85000000	0.01998165	0.01998165	0.01998165	40000.00000000	0.00030004
4.87500000	0.02007147	0.02007147	0.02007147	40000.00000000	0.00030154
4.90000000	0.02016109	0.02016109	0.02016109	40000.00000000	0.00030304
4.92500000	0.02025051	0.02025051	0.02025051	40000.00000000	0.00030453
4.95000000	0.02033973	0.02033973	0.02033973	40000.00000000	0.00030603
4.97500000	0.02042876	0.02042876	0.02042876	40000.00000000	0.00030752
5.00000000	0.02051758	0.02051758	0.02051758	40000.00000000	0.00030902
5.02500000	0.02060619	0.02060619	0.02060619	40000.00000000	0.00031051
5.05000000	0.02069461	0.02069461	0.02069461	40000.00000000	0.00031200
5.07500000	0.02078282	0.02078282	0.02078282	40000.00000000	0.00031350
5.10000000	0.02087082	0.02087082	0.02087082	40000.00000000	0.00031499
5.12500000	0.02095862	0.02095862	0.02095862	40000.00000000	0.00031648
5.15000000	0.02104621	0.02104621	0.02104621	40000.00000000	0.00031797
5.17500000	0.02113360	0.02113360	0.02113360	40000.00000000	0.00031946
5.20000000	0.02122077	0.02122077	0.02122077	40000.00000000	0.00032094
5.22500000	0.02130774	0.02130774	0.02130774	40000.00000000	0.00032243
5.25000000	0.02139449	0.02139449	0.02139449	40000.00000000	0.00032392
5.27500000	0.02148104	0.02148104	0.02148104	40000.00000000	0.00032540
5.30000000	0.02156737	0.02156737	0.02156737	40000.00000000	0.00032689
5.32500000	0.02165349	0.02165349	0.02165349	40000.00000000	0.00032837
5.35000000	0.02173939	0.02173939	0.02173939	40000.00000000	0.00032986
5.37500000	0.02182509	0.02182509	0.02182509	40000.00000000	0.00033134
5.40000000	0.02191056	0.02191056	0.02191056	40000.00000000	0.00033282
5.42500000	0.02199582	0.02199582	0.02199582	40000.00000000	0.00033430
5.45000000	0.02208086	0.02208086	0.02208086	40000.00000000	0.00033578
5.47500000	0.02216569	0.02216569	0.02216569	40000.00000000	0.00033726
5.50000000	0.02225029	0.02225029	0.02225029	40000.00000000	0.00033874
5.52500000	0.02233468	0.02233468	0.02233468	40000.00000000	0.00034022
5.55000000	0.02241885	0.02241885	0.02241885	40000.00000000	0.00034169
5.57500000	0.02250279	0.02250279	0.02250279	40000.00000000	0.00034317
5.60000000	0.02258651	0.02258651	0.02258651	40000.00000000	0.00034464
5.62500000	0.02267001	0.02267001	0.02267001	40000.00000000	0.00034612
5.65000000	0.02275329	0.02275329	0.02275329	40000.00000000	0.00034759
5.67500000	0.02283634	0.02283634	0.02283634	40000.00000000	0.00034906
5.70000000	0.02291917	0.02291917	0.02291917	40000.00000000	0.00035053
5.72500000	0.02300177	0.02300177	0.02300177	40000.00000000	0.00035201
5.75000000	0.02308414	0.02308414	0.02308414	40000.00000000	0.00035347
5.77500000	0.02316628	0.02316628	0.02316628	40000.00000000	0.00035494
5.80000000	0.02324820	0.02324820	0.02324820	40000.00000000	0.00035641
5.82500000	0.02332989	0.02332989	0.02332989	40000.00000000	0.00035788
5.85000000	0.02341134	0.02341134	0.02341134	40000.00000000	0.00035935
5.87500000	0.02349257	0.02349257	0.02349257	40000.00000000	0.00036081
5.90000000	0.02357356	0.02357356	0.02357356	40000.00000000	0.00036228
5.92500000	0.02365432	0.02365432	0.02365432	40000.00000000	0.00036374
5.95000000	0.02373485	0.02373485	0.02373485	40000.00000000	0.00036520
5.97500000	0.02381514	0.02381514	0.02381514	40000.00000000	0.00036666
6.00000000	0.02389520	0.02389520	0.02389520	40000.00000000	0.00036812
6.02500000	0.02397502	0.02397502	0.02397502	40000.00000000	0.00036958
6.05000000	0.02405461	0.02405461	0.02405461	40000.00000000	0.00037104
6.07500000	0.02413396	0.02413396	0.02413396	40000.00000000	0.00037250
6.10000000	0.02421307	0.02421307	0.02421307	40000.00000000	0.00037396
6.12500000	0.02429194	0.02429194	0.02429194	40000.00000000	0.00037542
6.15000000	0.02437057	0.02437057	0.02437057	40000.00000000	0.00037687
6.17500000	0.02444896	0.02444896	0.02444896	40000.00000000	0.00037833
6.20000000	0.02452711	0.02452711	0.02452711	40000.00000000	0.00037978
6.22500000	0.02460502	0.02460502	0.02460502	40000.00000000	0.00038123
6.25000000	0.02468268	0.02468268	0.02468268	40000.00000000	0.00038268
6.27500000	0.02476010	0.02476010	0.02476010	40000.00000000	0.00038413
6.30000000	0.02483728	0.02483728	0.02483728	40000.00000000	0.00038558
6.32500000	0.02491421	0.02491421	0.02491421	40000.00000000	0.00038703
6.35000000	0.02499090	0.02499090	0.02499090	40000.00000000	0.00038848
6.37500000	0.02506734	0.02506734	0.02506734	40000.00000000	0.00038993
6.40000000	0.02514353	0.02514353	0.02514353	40000.00000000	0.00039137
6.42500000	0.02521947	0.02521947	0.02521947	40000.00000000	0.00039282
6.45000000	0.02529517	0.02529517	0.02529517	40000.00000000	0.00039426
6.47500000	0.02537061	0.02537061	0.02537061	40000.00000000	0.00039571
6.50000000	0.02544581	0.02544581	0.02544581	40000.00000000	0.00039715
6.52500000	0.02552075	0.02552075	0.02552075	40000.00000000	0.00039859
6.55000000	0.02559544	0.02559544	0.02559544	40000.00000000	0.00040003
6.57500000	0.02566988	0.02566988	0.02566988	40000.00000000	0.00040147
6.60000000	0.02574406	0.02574406	0.02574406	40000.00000000	0.00040291
6.62500000	0.02581800	0.02581800	0.02581800	40000.00000000	0.00040434
6.65000000	0.02589167	0.02589167	0.02589167	40000.00000000	0.00040578
6.67500000	0.02596509	0.02596509	0.02596509	40000.00000000	0.00040721
6.70000000	0.02603826	0.02603826	0.02603826	40000.00000000	0.00040865
6.72500000	0.02611117	0.02611117	0.02611117	40000.00000000	0.00041008
6.75000000	0.02618382	0.02618382	0.02618382	40000.00000000	0.00041151
6.77500000	0.02625621	0.02625621	0.02625621	40000.00000000	0.00041295
6.80000000	0.02632834	0.02632834	0.02632834	40000.00000000	0.00041438
6.82500000	0.02640021	0.02640021	0.02640021	40000.00000000	0.00041580
6.85000000	0.02647182	0.02647182	0.02647182	40000.00000000	0.00041723
6.87500000	0.02654318	0.02654318	0.02654318	40000.00000000	0.00041866
6.90000000	0.02661426	0.02661426	0.02661426	40000.00000000	0.00042009
6.92500000	0.02668509	0.02668509	0.02668509	40000.00000000	0.00042151
6.95000000	0.02675565	0.02675565	0.02675565	40000.00000000	0.00042293
6.97500000	0.02682595	0.02682595	0.02682595	40000.00000000	0.00042436
7.00000000	0.02689599	0.02689599	0.02689599	40000.00000000	0.00042578
7.02500000	0.02696575	0.02696575	0.02696575	40000.00000000	0.00042720
7.05000000	0.02703526	0.02703526	0.02703526	40000.00000000	0.00042862
7.07500000	0.02710449	0.02710449	0.02710449	40000.00000000	0.00043004
7.10000000	0.02717346	0.02717346	0.02717346	40000.00000000	0.00043146
7.12500000	0.02724216	0.02724216	0.02724216	40000.00000000	0.00043287
7.15000000	0.02731059	0.02731059	0.02731059	40000.00000000	0.00043429
7.17500000	0.02737875	0.02737875	0.02737875	40000.00000000	0.00043570
7.20000000	0.02744664	0.02744664	0.02744664	40000.00000000	0.00043712
7.22500000	0.02751426	0.02751426	0.02751426	40000.00000000	0.00043853
7.25000000	0.02758161	0.02758161	0.02758161	40000.00000000	0.00043994
7.27500000	0.02764869	0.02764869	0.02764869	40000.00000000	0.00044135
7.30000000	0.02771549	0.02771549	0.02771549	40000.00000000	0.00044276
7.32500000	0.02778202	0.02778202	0.02778202	40000.00000000	0.00044417
7.35000000	0.02784828	0.02784828	0.02784828	40000.00000000	0.00044557
7.37500000	0.02791426	0.02791426	0.02791426	40000.00000000	0.00044698
7.40000000	0.02797997	0.02797997	0.02797997	40000.00000000	0.00044838
7.42500000	0.02804540	0.02804540	0.02804540	40000.00000000	0.00044979
7.45000000	0.02811055	0.02811055	0.02811055	40000.00000000	0.00045119
7.47500000	0.02817542	0.02817542	0.02817542	40000.00000000	0.00045259
7.50000000	0.02824002	0.02824002	0.02824002	40000.00000000	0.00045399
7.52500000	0.02830434	0.02830434	0.02830434	40000.00000000	0.00045539
7.55000000	0.02836838	0.02836838	0.02836838	40000.00000000	0.00045679
7.57500000	0.02843214	0.02843214	0.02843214	40000.00000000	0.00045818
7.60000000	0.02849562	0.02849562	0.02849562	40000.00000000	0.00045958
7.62500000	0.02855881	0.02855881	0.02855881	40000.00000000	0.00046097
7.65000000	0.02862173	0.02862173	0.02862173	40000.00000000	0.00046237
7.67500000	0.02868436	0.02868436	0.02868436	40000.00000000	0.00046376
7.70000000	0.02874671	0.02874671	0.02874671	40000.00000000	0.00046515
7.72500000	0.02880878	0.02880878	0.02880878	40000.00000000	0.00046654
7.75000000	0.02887056	0.02887056	0.02887056	40000.00000000	0.00046793
7.77500000	0.02893206	0.02893206	0.02893206	40000.00000000	0.00046932
7.80000000	0.02899327	0.02899327	0.02899327	40000.00000000	0.00047070
7.82500000	0.02905419	0.02905419	0.02905419	40000.00000000	0.00047209
7.85000000	0.02911483	0.02911483	0.02911483	40000.00000000	0.00047347
7.87500000	0.02917518	0.02917518	0.02917518	40000.00000000	0.00047486
7.90000000	0.02923524	0.02923524	0.02923524	40000.00000000	0.00047624
7.92500000	0.02929502	0.02929502	0.02929502	40000.00000000	0.00047762
7.95000000	0.02935450	0.02935450	0.02935450	40000.00000000	0.00047900
7.97500000	0.02941370	0.02941370	0.02941370	40000.00000000	0.00048038
8.00000000	0.02947260	0.02947260	0.02947260	40000.00000000	0.00048175
8.02500000	0.02953122	0.02953122	0.02953122	40000.00000000	0.00048313
8.05000000	0.02958954	0.02958954	0.02958954	40000.00000000	0.00048450
8.07500000	0.02964757	0.02964757	0.02964757	40000.00000000	0.00048588
8.10000000	0.02970531	0.02970531	0.02970531	40000.00000000	0.00048725
8.12500000	0.02976276	0.02976276	0.02976276	40000.00000000	0.00048862
8.15000000	0.02981991	0.02981991	0.02981991	40000.00000000	0.00048999
8.17500000	0.02987676	0.02987676	0.02987676	40000.00000000	0.00049136
8.20000000	0.02993333	0.02993333	0.02993333	40000.00000000	0.00049273
8.22500000	0.02998959	0.02998959	0.02998959	40000.00000000	0.00049409
8.25000000	0.03004556	0.03004556	0.03004556	40000.00000000	0.00049546
8.27500000	0.03010124	0.03010124	0.03010124	40000.00000000	0.00049682
8.30000000	0.03015662	0.03015662	0.03015662	40000.00000000	0.00049819
8.32500000	0.03021170	0.03021170	0.03021170	40000.00000000	0.00049955
8.35000000	0.03026648	0.03026648	0.03026648	40000.00000000	0.00050091
8.37500000	0.03032096	0.03032096	0.03032096	40000.00000000	0.00050227
8.40000000	0.03037514	0.03037514	0.03037514	40000.00000000	0.00050362
8.42500000	0.03042903	0.03042903	0.03042903	40000.00000000	0.00050498
8.45000000	0.03048261	0.03048261	0.03048261	40000.00000000	0.00050633
8.47500000	0.03053589	0.03053589	0.03053589	40000.00000000	0.00050769
8.50000000	0.03058887	0.03058887	0.03058887	40000.00000000	0.00050904
8.52500000	0.03064155	0.03064155	0.03064155	40000.00000000	0.00051039
8.55000000	0.03069393	0.03069393	0.03069393	40000.00000000	0.00051174
8.57500000	0.03074600	0.03074600	0.03074600	40000.00000000	0.00051309
8.60000000	0.03079777	0.03079777	0.03079777	40000.00000000	0.00051444
8.62500000	0.03084924	0.03084924	0.03084924	40000.00000000	0.00051579
8.65000000	0.03090040	0.03090040	0.03090040	40000.00000000	0.00051713
8.67500000	0.03095126	0.03095126	0.03095126	40000.00000000	0.00051847
8.70000000	0.03100181	0.03100181	0.03100181	40000.00000000	0.00051982
8.72500000	0.03105206	0.03105206	0.03105206	40000.00000000	0.00052116
8.75000000	0.03110200	0.03110200	0.03110200	40000.00000000	0.00052250
8.77500000	0.03115163	0.03115163	0.03115163	40000.00000000	0.00052384
8.80000000	0.03120095	0.03120095	0.03120095	40000.00000000	0.00052517
8.82500000	0.03124997	0.03124997	0.03124997	40000.00000000	0.00052651
8.85000000	0.03129868	0.03129868	0.03129868	40000.00000000	0.00052785
8.87500000	0.03134708	0.03134708	0.03134708	40000.00000000	0.00052918
8.90000000	0.03139517	0.03139517	0.03139517	40000.00000000	0.00053051
8.92500000	0.03144295	0.03144295	0.03144295	40000.00000000	0.00053184
8.95000000	0.03149042	0.03149042	0.03149042	40000.00000000	0.00053317
8.97500000	0.03153757	0.03153757	0.03153757	40000.00000000	0.00053450
9.00000000	0.03158442	0.03158442	0.03158442	40000.00000000	0.00053583
9.02500000	0.03163096	0.03163096	0.03163096	40000.00000000	0.00053715
9.05000000	0.03167718	0.03167718	0.03167718	40000.00000000	0.00053848
9.07500000	0.03172309	0.03172309	0.03172309	40000.00000000	0.00053980
9.10000000	0.03176869	0.03176869	0.03176869	40000.00000000	0.00054112
9.12500000	0.03181398	0.03181398	0.03181398	40000.00000000	0.00054244
9.15000000	0.03185895	0.03185895	0.03185895	40000.00000000	0.00054376
9.17500000	0.03190360	0.03190360	0.03190360	40000.00000000	0.00054508
9.20000000	0.03194794	0.03194794	0.03194794	40000.00000000	0.00054639
9.22500000	0.03199197	0.03199197	0.03199197	40000.00000000	0.00054771
9.25000000	0.03203568	0.03203568	0.03203568	40000.00000000	0.00054902
9.27500000	0.03207907	0.03207907	0.03207907	40000.00000000	0.00055034
9.30000000	0.03212215	0.03212215	0.03212215	40000.00000000	0.00055165
9.32500000	0.03216491	0.03216491	0.03216491	40000.00000000	0.00055296
9.35000000	0.03220735	0.03220735	0.03220735	40000.00000000	0.00055426
