! Time(s)	BldPitch1(rad)	BldPitch2(rad)	BldPitch3(rad)	GenTq(Nm)	YawRate(rad/s)	Cable1(m)	StC1(N)
1.00000000	0.00437496	0.00437496	0.00437496	40000.00000000	0.00006279	0.53090170	1018738.13145857
1.02500000	0.00448373	0.00448373	0.00448373	40000.00000000	0.00006436	0.53164770	1019200.81365215
1.05000000	0.00459246	0.00459246	0.00459246	40000.00000000	0.00006593	0.53239174	1019663.06946154
1.07500000	0.00470115	0.00470115	0.00470115	40000.00000000	0.00006749	0.53313379	1020124.88862163
1.10000000	0.00480979	0.00480979	0.00480979	40000.00000000	0.00006906	0.53387379	1020586.26087699
1.12500000	0.00491838	0.00491838	0.00491838	40000.00000000	0.00007063	0.53461171	1021047.17598213
1.15000000	0.00502692	0.00502692	0.00502692	40000.00000000	0.00007219	0.53534748	1021507.62370171
1.17500000	0.00513542	0.00513542	0.00513542	40000.00000000	0.00007376	0.53608108	1021967.59381077
1.20000000	0.00524386	0.00524386	0.00524386	40000.00000000	0.00007533	0.53681246	1022427.07609494
1.22500000	0.00535225	0.00535225	0.00535225	40000.00000000	0.00007689	0.53754156	1022886.06035070
1.25000000	0.00546059	0.00546059	0.00546059	40000.00000000	0.00007846	0.53826834	1023344.53638559
1.27500000	0.00556888	0.00556888	0.00556888	40000.00000000	0.00008002	0.53899277	1023802.49401843
1.30000000	0.00567711	0.00567711	0.00567711	40000.00000000	0.00008159	0.53971479	1024259.92307954
1.32500000	0.00578528	0.00578528	0.00578528	40000.00000000	0.00008316	0.54043436	1024716.81341100
1.35000000	0.00589340	0.00589340	0.00589340	40000.00000000	0.00008472	0.54115144	1025173.15486685
1.37500000	0.00600146	0.00600146	0.00600146	40000.00000000	0.00008629	0.54186597	1025628.93731330
1.40000000	0.00610946	0.00610946	0.00610946	40000.00000000	0.00008785	0.54257793	1026084.15062899
1.42500000	0.00621740	0.00621740	0.00621740	40000.00000000	0.00008942	0.54328726	1026538.78470519
1.45000000	0.00632527	0.00632527	0.00632527	40000.00000000	0.00009098	0.54399392	1026992.82944605
1.47500000	0.00643309	0.00643309	0.00643309	40000.00000000	0.00009254	0.54469786	1027446.27476878
1.50000000	0.00654084	0.00654084	0.00654084	40000.00000000	0.00009411	0.54539905	1027899.11060392
1.52500000	0.00664853	0.00664853	0.00664853	40000.00000000	0.00009567	0.54609744	1028351.32689555
1.55000000	0.00675615	0.00675615	0.00675615	40000.00000000	0.00009724	0.54679298	1028802.91360148
1.57500000	0.00686371	0.00686371	0.00686371	40000.00000000	0.00009880	0.54748564	1029253.86069353
1.60000000	0.00697119	0.00697119	0.00697119	40000.00000000	0.00010036	0.54817537	1029704.15815770
1.62500000	0.00707861	0.00707861	0.00707861	40000.00000000	0.00010192	0.54886212	1030153.79599445
1.65000000	0.00718596	0.00718596	0.00718596	40000.00000000	0.00010349	0.54954587	1030602.76421885
1.67500000	0.00729324	0.00729324	0.00729324	40000.00000000	0.00010505	0.55022655	1031051.05286086
1.70000000	0.00740044	0.00740044	0.00740044	40000.00000000	0.00010661	0.55090414	1031498.65196553
1.72500000	0.00750758	0.00750758	0.00750758	40000.00000000	0.00010817	0.55157859	1031945.55159322
1.75000000	0.00761464	0.00761464	0.00761464	40000.00000000	0.00010973	0.55224986	1032391.74181981
1.77500000	0.00772162	0.00772162	0.00772162	40000.00000000	0.00011130	0.55291790	1032837.21273697
1.80000000	0.00782853	0.00782853	0.00782853	40000.00000000	0.00011286	0.55358268	1033281.95445230
1.82500000	0.00793536	0.00793536	0.00793536	40000.00000000	0.00011442	0.55424415	1033725.95708962
1.85000000	0.00804211	0.00804211	0.00804211	40000.00000000	0.00011598	0.55490228	1034169.21078915
1.87500000	0.00814878	0.00814878	0.00814878	40000.00000000	0.00011754	0.55555702	1034611.70570775
1.90000000	0.00825537	0.00825537	0.00825537	40000.00000000	0.00011910	0.55620834	1035053.43201913
1.92500000	0.00836188	0.00836188	0.00836188	40000.00000000	0.00012066	0.55685619	1035494.37991405
1.95000000	0.00846831	0.00846831	0.00846831	40000.00000000	0.00012222	0.55750053	1035934.53960059
1.97500000	0.00857466	0.00857466	0.00857466	40000.00000000	0.00012377	0.55814132	1036373.90130430
2.00000000	0.00868091	0.00868091	0.00868091	40000.00000000	0.00012533	0.55877853	1036812.45526847
2.02500000	0.00878709	0.00878709	0.00878709	40000.00000000	0.00012689	0.55941211	1037250.19175432
2.05000000	0.00889318	0.00889318	0.00889318	40000.00000000	0.00012845	0.56004202	1037687.10104122
2.07500000	0.00899918	0.00899918	0.00899918	40000.00000000	0.00013001	0.56066824	1038123.17342691
2.10000000	0.00910509	0.00910509	0.00910509	40000.00000000	0.00013156	0.56129071	1038558.39922774
2.12500000	0.00921091	0.00921091	0.00921091	40000.00000000	0.00013312	0.56190939	1038992.76877882
2.15000000	0.00931664	0.00931664	0.00931664	40000.00000000	0.00013468	0.56252427	1039426.27243430
2.17500000	0.00942227	0.00942227	0.00942227	40000.00000000	0.00013623	0.56313528	1039858.90056754
2.20000000	0.00952782	0.00952782	0.00952782	40000.00000000	0.00013779	0.56374240	1040290.64357137
2.22500000	0.00963327	0.00963327	0.00963327	40000.00000000	0.00013935	0.56434559	1040721.49185824
2.25000000	0.00973863	0.00973863	0.00973863	40000.00000000	0.00014090	0.56494480	1041151.43586051
2.27500000	0.00984389	0.00984389	0.00984389	40000.00000000	0.00014246	0.56554002	1041580.46603059
2.30000000	0.00994905	0.00994905	0.00994905	40000.00000000	0.00014401	0.56613119	1042008.57284118
2.32500000	0.01005411	0.01005411	0.01005411	40000.00000000	0.00014557	0.56671828	1042435.74678551
2.35000000	0.01015908	0.01015908	0.01015908	40000.00000000	0.00014712	0.56730125	1042861.97837751
2.37500000	0.01026394	0.01026394	0.01026394	40000.00000000	0.00014867	0.56788007	1043287.25815204
2.40000000	0.01036871	0.01036871	0.01036871	40000.00000000	0.00015023	0.56845471	1043711.57666509
2.42500000	0.01047337	0.01047337	0.01047337	40000.00000000	0.00015178	0.56902512	1044134.92449401
2.45000000	0.01057793	0.01057793	0.01057793	40000.00000000	0.00015333	0.56959128	1044557.29223769
2.47500000	0.01068238	0.01068238	0.01068238	40000.00000000	0.00015488	0.57015314	1044978.67051679
2.50000000	0.01078673	0.01078673	0.01078673	40000.00000000	0.00015643	0.57071068	1045399.04997395
2.52500000	0.01089097	0.01089097	0.01089097	40000.00000000	0.00015799	0.57126385	1045818.42127399
2.55000000	0.01099510	0.01099510	0.01099510	40000.00000000	0.00015954	0.57181263	1046236.77510410
2.57500000	0.01109913	0.01109913	0.01109913	40000.00000000	0.00016109	0.57235698	1046654.10217408
2.60000000	0.01120305	0.01120305	0.01120305	40000.00000000	0.00016264	0.57289686	1047070.39321653
2.62500000	0.01130685	0.01130685	0.01130685	40000.00000000	0.00016419	0.57343225	1047485.63898706
2.65000000	0.01141054	0.01141054	0.01141054	40000.00000000	0.00016574	0.57396311	1047899.83026448
2.67500000	0.01151413	0.01151413	0.01151413	40000.00000000	0.00016728	0.57448941	1048312.95785102
2.70000000	0.01161759	0.01161759	0.01161759	40000.00000000	0.00016883	0.57501111	1048725.01257253
2.72500000	0.01172095	0.01172095	0.01172095	40000.00000000	0.00017038	0.57552818	1049135.98527871
2.75000000	0.01182418	0.01182418	0.01182418	40000.00000000	0.00017193	0.57604060	1049545.86684324
2.77500000	0.01192730	0.01192730	0.01192730	40000.00000000	0.00017348	0.57654832	1049954.64816407
2.80000000	0.01203031	0.01203031	0.01203031	40000.00000000	0.00017502	0.57705132	1050362.32016358
2.82500000	0.01213319	0.01213319	0.01213319	40000.00000000	0.00017657	0.57754957	1050768.87378875
2.85000000	0.01223596	0.01223596	0.01223596	40000.00000000	0.00017812	0.57804304	1051174.30001143
2.87500000	0.01233860	0.01233860	0.01233860	40000.00000000	0.00017966	0.57853169	1051578.58982850
2.90000000	0.01244112	0.01244112	0.01244112	40000.00000000	0.00018121	0.57901550	1051981.73426207
2.92500000	0.01254352	0.01254352	0.01254352	40000.00000000	0.00018275	0.57949444	1052383.72435968
2.95000000	0.01264580	0.01264580	0.01264580	40000.00000000	0.00018429	0.57996847	1052784.55119451
2.97500000	0.01274795	0.01274795	0.01274795	40000.00000000	0.00018584	0.58043756	1053184.20586557
3.00000000	0.01284997	0.01284997	0.01284997	40000.00000000	0.00018738	0.58090170	1053582.67949790
3.02500000	0.01295187	0.01295187	0.01295187	40000.00000000	0.00018892	0.58136084	1053979.96324277
3.05000000	0.01305364	0.01305364	0.01305364	40000.00000000	0.00019047	0.58181497	1054376.04827788
3.07500000	0.01315528	0.01315528	0.01315528	40000.00000000	0.00019201	0.58226405	1054770.92580753
3.10000000	0.01325679	0.01325679	0.01325679	40000.00000000	0.00019355	0.58270806	1055164.58706284
3.12500000	0.01335817	0.01335817	0.01335817	40000.00000000	0.00019509	0.58314696	1055557.02330196
3.15000000	0.01345942	0.01345942	0.01345942	40000.00000000	0.00019663	0.58358074	1055948.22581022
3.17500000	0.01356054	0.01356054	0.01356054	40000.00000000	0.00019817	0.58400936	1056338.18590035
3.20000000	0.01366152	0.01366152	0.01366152	40000.00000000	0.00019971	0.58443279	1056726.89491268
3.22500000	0.01376237	0.01376237	0.01376237	40000.00000000	0.00020125	0.58485102	1057114.34421531
3.25000000	0.01386308	0.01386308	0.01386308	40000.00000000	0.00020279	0.58526402	1057500.52520433
3.27500000	0.01396365	0.01396365	0.01396365	40000.00000000	0.00020433	0.58567175	1057885.42930398
3.30000000	0.01406409	0.01406409	0.01406409	40000.00000000	0.00020586	0.58607420	1058269.04796686
3.32500000	0.01416439	0.01416439	0.01416439	40000.00000000	0.00020740	0.58647134	1058651.37267412
3.35000000	0.01426454	0.01426454	0.01426454	40000.00000000	0.00020894	0.58686315	1059032.39493563
3.37500000	0.01436456	0.01436456	0.01436456	40000.00000000	0.00021047	0.58724960	1059412.10629020
3.40000000	0.01446444	0.01446444	0.01446444	40000.00000000	0.00021201	0.58763067	1059790.49830575
3.42500000	0.01456417	0.01456417	0.01456417	40000.00000000	0.00021354	0.58800633	1060167.56257949
3.45000000	0.01466376	0.01466376	0.01466376	40000.00000000	0.00021508	0.58837656	1060543.29073810
3.47500000	0.01476320	0.01476320	0.01476320	40000.00000000	0.00021661	0.58874134	1060917.67443796
3.50000000	0.01486250	0.01486250	0.01486250	40000.00000000	0.00021814	0.58910065	1061290.70536530
3.52500000	0.01496165	0.01496165	0.01496165	40000.00000000	0.00021968	0.58945446	1061662.37523637
3.55000000	0.01506066	0.01506066	0.01506066	40000.00000000	0.00022121	0.58980276	1062032.67579766
3.57500000	0.01515951	0.01515951	0.01515951	40000.00000000	0.00022274	0.59014551	1062401.59882606
3.60000000	0.01525822	0.01525822	0.01525822	40000.00000000	0.00022427	0.59048271	1062769.13612907
3.62500000	0.01535677	0.01535677	0.01535677	40000.00000000	0.00022580	0.59081432	1063135.27954494
3.65000000	0.01545518	0.01545518	0.01545518	40000.00000000	0.00022733	0.59114033	1063500.02094288
3.67500000	0.01555343	0.01555343	0.01555343	40000.00000000	0.00022886	0.59146072	1063863.35222323
3.70000000	0.01565153	0.01565153	0.01565153	40000.00000000	0.00023039	0.59177546	1064225.26531766
3.72500000	0.01574947	0.01574947	0.01574947	40000.00000000	0.00023192	0.59208455	1064585.75218931
3.75000000	0.01584726	0.01584726	0.01584726	40000.00000000	0.00023345	0.59238795	1064944.80483302
3.77500000	0.01594489	0.01594489	0.01594489	40000.00000000	0.00023497	0.59268566	1065302.41527545
3.80000000	0.01604236	0.01604236	0.01604236	40000.00000000	0.00023650	0.59297765	1065658.57557530
3.82500000	0.01613968	0.01613968	0.01613968	40000.00000000	0.00023802	0.59326390	1066013.27782347
3.85000000	0.01623684	0.01623684	0.01623684	40000.00000000	0.00023955	0.59354440	1066366.51414325
3.87500000	0.01633383	0.01633383	0.01633383	40000.00000000	0.00024108	0.59381913	1066718.27669046
3.90000000	0.01643067	0.01643067	0.01643067	40000.00000000	0.00024260	0.59408808	1067068.55765367
3.92500000	0.01652734	0.01652734	0.01652734	40000.00000000	0.00024412	0.59435122	1067417.34925434
3.95000000	0.01662385	0.01662385	0.01662385	40000.00000000	0.00024565	0.59460854	1067764.64374701
3.97500000	0.01672019	0.01672019	0.01672019	40000.00000000	0.00024717	0.59486002	1068110.43341945
4.00000000	0.01681638	0.01681638	0.01681638	40000.00000000	0.00024869	0.59510565	1068454.71059287
4.02500000	0.01691239	0.01691239	0.01691239	40000.00000000	0.00025021	0.59534542	1068797.46762204
4.05000000	0.01700824	0.01700824	0.01700824	40000.00000000	0.00025173	0.59557930	1069138.69689552
4.07500000	0.01710392	0.01710392	0.01710392	40000.00000000	0.00025325	0.59580729	1069478.39083577
4.10000000	0.01719943	0.01719943	0.01719943	40000.00000000	0.00025477	0.59602937	1069816.54189935
4.12500000	0.01729477	0.01729477	0.01729477	40000.00000000	0.00025629	0.59624552	1070153.14257709
4.15000000	0.01738994	0.01738994	0.01738994	40000.00000000	0.00025781	0.59645574	1070488.18539424
4.17500000	0.01748494	0.01748494	0.01748494	40000.00000000	0.00025932	0.59666001	1070821.66291065
4.20000000	0.01757977	0.01757977	0.01757977	40000.00000000	0.00026084	0.59685832	1071153.56772093
4.22500000	0.01767442	0.01767442	0.01767442	40000.00000000	0.00026236	0.59705065	1071483.89245461
4.25000000	0.01776890	0.01776890	0.01776890	40000.00000000	0.00026387	0.59723699	1071812.62977632
4.27500000	0.01786320	0.01786320	0.01786320	40000.00000000	0.00026539	0.59741734	1072139.77238592
4.30000000	0.01795733	0.01795733	0.01795733	40000.00000000	0.00026690	0.59759168	1072465.31301870
4.32500000	0.01805128	0.01805128	0.01805128	40000.00000000	0.00026842	0.59775999	1072789.24444553
4.35000000	0.01814505	0.01814505	0.01814505	40000.00000000	0.00026993	0.59792228	1073111.55947299
4.37500000	0.01823864	0.01823864	0.01823864	40000.00000000	0.00027144	0.59807853	1073432.25094357
4.40000000	0.01833205	0.01833205	0.01833205	40000.00000000	0.00027295	0.59822873	1073751.31173582
4.42500000	0.01842528	0.01842528	0.01842528	40000.00000000	0.00027446	0.59837286	1074068.73476449
4.45000000	0.01851833	0.01851833	0.01851833	40000.00000000	0.00027597	0.59851093	1074384.51298070
4.47500000	0.01861120	0.01861120	0.01861120	40000.00000000	0.00027748	0.59864293	1074698.63937211
4.50000000	0.01870388	0.01870388	0.01870388	40000.00000000	0.00027899	0.59876883	1075011.10696305
4.52500000	0.01879638	0.01879638	0.01879638	40000.00000000	0.00028050	0.59888865	1075321.90881467
4.55000000	0.01888870	0.01888870	0.01888870	40000.00000000	0.00028201	0.59900237	1075631.03802515
4.57500000	0.01898082	0.01898082	0.01898082	40000.00000000	0.00028351	0.59910997	1075938.48772977
4.60000000	0.01907276	0.01907276	0.01907276	40000.00000000	0.00028502	0.59921147	1076244.25110114
4.62500000	0.01916451	0.01916451	0.01916451	40000.00000000	0.00028652	0.59930685	1076548.32134931
4.65000000	0.01925607	0.01925607	0.01925607	40000.00000000	0.00028803	0.59939610	1076850.69172191
4.67500000	0.01934745	0.01934745	0.01934745	40000.00000000	0.00028953	0.59947921	1077151.35550433
4.70000000	0.01943863	0.01943863	0.01943863	40000.00000000	0.00029104	0.59955620	1077450.30601987
4.72500000	0.01952962	0.01952962	0.01952962	40000.00000000	0.00029254	0.59962704	1077747.53662986
4.75000000	0.01962041	0.01962041	0.01962041	40000.00000000	0.00029404	0.59969173	1078043.04073383
4.77500000	0.01971101	0.01971101	0.01971101	40000.00000000	0.00029554	0.59975028	1078336.81176965
4.80000000	0.01980142	0.01980142	0.01980142	40000.00000000	0.00029704	0.59980267	1078628.84321366
4.82500000	0.01989163	0.01989163	0.01989163	40000.00000000	0.00029854	0.59984891	1078919.12858086
4.85000000	0.01998165	0.01998165	0.01998165	40000.00000000	0.00030004	0.59988899	1079207.66142500
4.87500000	0.02007147	0.02007147	0.02007147	40000.00000000	0.00030154	0.59992290	1079494.43533875
4.90000000	0.02016109	0.02016109	0.02016109	40000.00000000	0.00030304	0.59995066	1079779.44395386
4.92500000	0.02025051	0.02025051	0.02025051	40000.00000000	0.00030453	0.59997224	1080062.68094125
4.95000000	0.02033973	0.02033973	0.02033973	40000.00000000	0.00030603	0.59998766	1080344.14001121
4.97500000	0.02042876	0.02042876	0.02042876	40000.00000000	0.00030752	0.59999692	1080623.81491350
5.00000000	0.02051758	0.02051758	0.02051758	40000.00000000	0.00030902	0.60000000	1080901.69943749
5.02500000	0.02060619	0.02060619	0.02060619	40000.00000000	0.00031051	0.59999692	1081177.78741233
5.05000000	0.02069461	0.02069461	0.02069461	40000.00000000	0.00031200	0.59998766	1081452.07270705
5.07500000	0.02078282	0.02078282	0.02078282	40000.00000000	0.00031350	0.59997224	1081724.54923071
5.10000000	0.02087082	0.02087082	0.02087082	40000.00000000	0.00031499	0.59995066	1081995.21093255
5.12500000	0.02095862	0.02095862	0.02095862	40000.00000000	0.00031648	0.59992290	1082264.05180209
5.15000000	0.02104621	0.02104621	0.02104621	40000.00000000	0.00031797	0.59988899	1082531.06586930
5.17500000	0.02113360	0.02113360	0.02113360	40000.00000000	0.00031946	0.59984891	1082796.24720472
5.20000000	0.02122077	0.02122077	0.02122077	40000.00000000	0.00032094	0.59980267	1083059.58991958
5.22500000	0.02130774	0.02130774	0.02130774	40000.00000000	0.00032243	0.59975028	1083321.08816594
5.25000000	0.02139449	0.02139449	0.02139449	40000.00000000	0.00032392	0.59969173	1083580.73613683
5.27500000	0.02148104	0.02148104	0.02148104	40000.00000000	0.00032540	0.59962704	1083838.52806634
5.30000000	0.02156737	0.02156737	0.02156737	40000.00000000	0.00032689	0.59955620	1084094.45822982
5.32500000	0.02165349	0.02165349	0.02165349	40000.00000000	0.00032837	0.59947921	1084348.52094392
5.35000000	0.02173939	0.02173939	0.02173939	40000.00000000	0.00032986	0.59939610	1084600.71056678
5.37500000	0.02182509	0.02182509	0.02182509	40000.00000000	0.00033134	0.59930685	1084851.02149815
5.40000000	0.02191056	0.02191056	0.02191056	40000.00000000	0.00033282	0.59921147	1085099.44817947
5.42500000	0.02199582	0.02199582	0.02199582	40000.00000000	0.00033430	0.59910997	1085345.98509404
5.45000000	0.02208086	0.02208086	0.02208086	40000.00000000	0.00033578	0.59900237	1085590.62676711
5.47500000	0.02216569	0.02216569	0.02216569	40000.00000000	0.00033726	0.59888865	1085833.36776605
5.50000000	0.02225029	0.02225029	0.02225029	40000.00000000	0.00033874	0.59876883	1086074.20270039
5.52500000	0.02233468	0.02233468	0.02233468	40000.00000000	0.00034022	0.59864293	1086313.12622204
5.55000000	0.02241885	0.02241885	0.02241885	40000.00000000	0.00034169	0.59851093	1086550.13302530
5.57500000	0.02250279	0.02250279	0.02250279	40000.00000000	0.00034317	0.59837286	1086785.21784708
5.60000000	0.02258651	0.02258651	0.02258651	40000.00000000	0.00034464	0.59822873	1087018.37546695
5.62500000	0.02267001	0.02267001	0.02267001	40000.00000000	0.00034612	0.59807853	1087249.60070728
5.65000000	0.02275329	0.02275329	0.02275329	40000.00000000	0.00034759	0.59792228	1087478.88843335
5.67500000	0.02283634	0.02283634	0.02283634	40000.00000000	0.00034906	0.59775999	1087706.23355346
5.70000000	0.02291917	0.02291917	0.02291917	40000.00000000	0.00035053	0.59759168	1087931.63101906
5.72500000	0.02300177	0.02300177	0.02300177	40000.00000000	0.00035201	0.59741734	1088155.07582484
5.75000000	0.02308414	0.02308414	0.02308414	40000.00000000	0.00035347	0.59723699	1088376.56300887
5.77500000	0.02316628	0.02316628	0.02316628	40000.00000000	0.00035494	0.59705065	1088596.08765267
5.80000000	0.02324820	0.02324820	0.02324820	40000.00000000	0.00035641	0.59685832	1088813.64488135
5.82500000	0.02332989	0.02332989	0.02332989	40000.00000000	0.00035788	0.59666001	1089029.22986372
5.85000000	0.02341134	0.02341134	0.02341134	40000.00000000	0.00035935	0.59645574	1089242.83781237
5.87500000	0.02349257	0.02349257	0.02349257	40000.00000000	0.00036081	0.59624552	1089454.46398380
5.90000000	0.02357356	0.02357356	0.02357356	40000.00000000	0.00036228	0.59602937	1089664.10367852
5.92500000	0.02365432	0.02365432	0.02365432	40000.00000000	0.00036374	0.59580729	1089871.75224116
5.95000000	0.02373485	0.02373485	0.02373485	40000.00000000	0.00036520	0.59557930	1090077.40506054
5.97500000	0.02381514	0.02381514	0.02381514	40000.00000000	0.00036666	0.59534542	1090281.05756983
6.00000000	0.02389520	0.02389520	0.02389520	40000.00000000	0.00036812	0.59510565	1090482.70524660
6.02500000	0.02397502	0.02397502	0.02397502	40000.00000000	0.00036958	0.59486002	1090682.34361295
6.05000000	0.02405461	0.02405461	0.02405461	40000.00000000	0.00037104	0.59460854	1090879.96823560
6.07500000	0.02413396	0.02413396	0.02413396	40000.00000000	0.00037250	0.59435122	1091075.57472599
6.10000000	0.02421307	0.02421307	0.02421307	40000.00000000	0.00037396	0.59408808	1091269.15874035
6.12500000	0.02429194	0.02429194	0.02429194	40000.00000000	0.00037542	0.59381913	1091460.71597986
6.15000000	0.02437057	0.02437057	0.02437057	40000.00000000	0.00037687	0.59354440	1091650.24219069
6.17500000	0.02444896	0.02444896	0.02444896	40000.00000000	0.00037833	0.59326390	1091837.73316411
6.20000000	0.02452711	0.02452711	0.02452711	40000.00000000	0.00037978	0.59297765	1092023.18473659
6.22500000	0.02460502	0.02460502	0.02460502	40000.00000000	0.00038123	0.59268566	1092206.59278988
6.25000000	0.02468268	0.02468268	0.02468268	40000.00000000	0.00038268	0.59238795	1092387.95325113
6.27500000	0.02476010	0.02476010	0.02476010	40000.00000000	0.00038413	0.59208455	1092567.26209293
6.30000000	0.02483728	0.02483728	0.02483728	40000.00000000	0.00038558	0.59177546	1092744.51533347
6.32500000	0.02491421	0.02491421	0.02491421	40000.00000000	0.00038703	0.59146072	1092919.70903654
6.35000000	0.02499090	0.02499090	0.02499090	40000.00000000	0.00038848	0.59114033	1093092.83931169
6.37500000	0.02506734	0.02506734	0.02506734	40000.00000000	0.00038993	0.59081432	1093263.90231431
6.40000000	0.02514353	0.02514353	0.02514353	40000.00000000	0.00039137	0.59048271	1093432.89424566
6.42500000	0.02521947	0.02521947	0.02521947	40000.00000000	0.00039282	0.59014551	1093599.81135302
6.45000000	0.02529517	0.02529517	0.02529517	40000.00000000	0.00039426	0.58980276	1093764.64992972
6.47500000	0.02537061	0.02537061	0.02537061	40000.00000000	0.00039571	0.58945446	1093927.40631528
6.50000000	0.02544581	0.02544581	0.02544581	40000.00000000	0.00039715	0.58910065	1094088.07689542
6.52500000	0.02552075	0.02552075	0.02552075	40000.00000000	0.00039859	0.58874134	1094246.65810221
6.55000000	0.02559544	0.02559544	0.02559544	40000.00000000	0.00040003	0.58837656	1094403.14641411
6.57500000	0.02566988	0.02566988	0.02566988	40000.00000000	0.00040147	0.58800633	1094557.53835603
6.60000000	0.02574406	0.02574406	0.02574406	40000.00000000	0.00040291	0.58763067	1094709.83049947
6.62500000	0.02581800	0.02581800	0.02581800	40000.00000000	0.00040434	0.58724960	1094860.01946255
6.65000000	0.02589167	0.02589167	0.02589167	40000.00000000	0.00040578	0.58686315	1095008.10191008
6.67500000	0.02596509	0.02596509	0.02596509	40000.00000000	0.00040721	0.58647134	1095154.07455365
6.70000000	0.02603826	0.02603826	0.02603826	40000.00000000	0.00040865	0.58607420	1095297.93415172
6.72500000	0.02611117	0.02611117	0.02611117	40000.00000000	0.00041008	0.58567175	1095439.67750966
6.75000000	0.02618382	0.02618382	0.02618382	40000.00000000	0.00041151	0.58526402	1095579.30147983
